song_key,song,artist,album_type,is_explicit,total_tracks,duration_min,entry_date,exit_date,observed_days,peak_position,avg_position,median_position,avg_popularity,peak_popularity,latest_popularity,album_cover_url,peak_date,calendar_span_days,entry_to_peak_days,retention_ratio,release_form,explicit_label
la bachata | manuel turizo,La Bachata,Manuel Turizo,Album,False,15.0,2.7106166666666667,2024-05-18,2025-11-19,538,11,26.786641929499073,25.0,85.63636363636364,88,82,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1,2025-01-01,551,229,0.9764065335753176,Album,Clean
columbia | quevedo,Columbia,Quevedo,Single,False,1.0,3.1,2024-07-08,2025-11-02,463,1,19.584051724137932,18.0,89.28879310344827,97,81,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,2024-07-09,483,2,0.9585921325051759,Single,Clean
vagabundo | sebastian yatra & manuel turizo & beéle,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,Single,False,1.0,3.5933333333333333,2024-05-18,2025-10-16,385,3,29.090673575129532,33.0,85.26424870466322,91,78,https://i.scdn.co/image/ab67616d0000b2732d6016751b8ea5e66e83cd04,2024-06-04,517,18,0.7446808510638298,Single,Clean
la falda | myke towers,LA FALDA,Myke Towers,Album,True,23.0,2.9038166666666667,2024-11-25,2025-11-23,359,1,13.225626740947074,11.0,87.05292479108635,94,83,https://i.scdn.co/image/ab67616d0000b273c75c054b6b209b0b91d818d8,2025-02-18,364,86,0.9862637362637363,Album,Explicit
luna | feid,LUNA,Feid,Album,False,10.0,3.28,2024-12-02,2025-11-27,357,2,11.599439775910364,11.0,90.92717086834733,97,88,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242,2025-01-11,361,41,0.9889196675900277,Album,Clean
qlona | karol g,QLONA,KAROL G,Album,True,9.0,2.87995,2024-08-19,2025-10-19,342,8,26.472303206997086,23.0,90.00583090379008,94,85,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03,2024-09-14,427,27,0.8009367681498829,Album,Explicit
manos rotas | dellafuente & morad,Manos Rotas,DELLAFUENTE & Morad,Single,False,1.0,2.8099,2024-11-18,2025-11-23,329,1,23.595744680851062,26.0,77.68085106382979,85,72,https://i.scdn.co/image/ab67616d0000b2731a176de75067ededc26ad96d,2024-11-29,371,12,0.8867924528301887,Single,Clean
el merengue | marshmello,El Merengue,Marshmello,Album,False,11.0,3.1611333333333334,2024-11-04,2025-11-18,317,19,36.47634069400631,37.0,77.79179810725552,81,80,https://i.scdn.co/image/ab67616d0000b27369d232f6fb2074c8dbf2f569,2024-11-05,380,2,0.8342105263157895,Album,Clean
polaris - remix | saiko & feid & quevedo,POLARIS - Remix,Saiko & Feid & Quevedo,Single,True,1.0,4.8,2024-06-11,2025-04-20,312,1,17.102564102564102,15.0,84.77564102564102,90,80,https://i.scdn.co/image/ab67616d0000b2738f4a278cd5b5b2f65a0f87fd,2024-06-11,314,1,0.9936305732484076,Single,Explicit
lala | myke towers,LALA,Myke Towers,Album,True,23.0,3.2986666666666666,2024-06-29,2025-09-24,310,1,20.0,14.0,93.44694533762058,99,85,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,2024-07-05,453,7,0.6843267108167771,Album,Explicit
baby hello | rauw alejandro,BABY HELLO,Rauw Alejandro,Album,True,14.0,3.707683333333333,2024-07-09,2025-04-19,281,3,23.206405693950177,25.0,77.19217081850533,79,74,https://i.scdn.co/image/ab67616d0000b273f29d0900444e44b4146409e5,2024-07-09,285,1,0.9859649122807017,Album,Explicit
modelito | mora,MODELITO,Mora,Album,True,14.0,3.174933333333333,2024-09-09,2025-06-17,279,4,21.725,19.0,81.70357142857142,85,72,https://i.scdn.co/image/ab67616d0000b273076ef0fed51ff7a4911459e9,2024-11-12,282,65,0.9893617021276596,Album,Explicit
el cielo | sky rompiendo & feid & myke towers,El Cielo,Sky Rompiendo & Feid & Myke Towers,Single,True,1.0,3.1886666666666668,2024-06-04,2025-03-09,271,2,26.346863468634687,27.0,87.97416974169742,94,84,https://i.scdn.co/image/ab67616d0000b27306eccb4893fa58ae311c45ea,2024-06-10,279,7,0.9713261648745519,Single,Explicit
los del espacio | lit killah,Los del Espacio,LIT killah,Single,False,1.0,5.633333333333334,2024-06-04,2025-02-16,257,2,21.56420233463035,25.0,88.86381322957199,95,85,https://i.scdn.co/image/ab67616d0000b27352c8b9dffa4fcdb36e30eea2,2024-06-09,258,6,0.9961240310077519,Single,Clean
lo que tiene | morad & beny jr & rvfv,Lo Que Tiene,Morad & Beny Jr & Rvfv,Single,False,1.0,4.32,2025-03-10,2025-11-23,254,5,25.62204724409449,28.0,77.51968503937007,82,75,https://i.scdn.co/image/ab67616d0000b27345e6bba1ac0c5b54a9ee8121,2025-03-13,259,4,0.9806949806949807,Single,Clean
cosas que no te dije | saiko,COSAS QUE NO TE DIJE,Saiko,Single,False,1.0,3.745416666666667,2024-08-16,2025-04-27,252,7,21.642857142857142,18.0,81.08333333333333,84,81,https://i.scdn.co/image/ab67616d0000b273fb045f7dda9773e266437bc6,2024-12-12,255,119,0.9882352941176471,Single,Clean
1000cosas | lola indigo & manuel turizo,1000COSAS,Lola Indigo & Manuel Turizo,Single,False,1.0,3.9913666666666665,2025-03-10,2025-11-13,245,3,20.428571428571427,19.0,76.17142857142858,81,72,https://i.scdn.co/image/ab67616d0000b27382bab0e22f0937d4cf16784e,2025-03-10,249,1,0.9839357429718876,Single,Clean
arena y sal | omar montes & saiko & tunvao,Arena y Sal,Omar Montes & Saiko & Tunvao,Single,False,1.0,2.9069166666666666,2024-05-21,2025-01-20,242,3,20.024793388429753,20.0,80.00413223140495,86,77,https://i.scdn.co/image/ab67616d0000b273e78ae3c73af7c17be0c05cb2,2024-08-06,245,78,0.9877551020408163,Single,Clean
la capi | myke towers,LA CAPI,Myke Towers,Album,True,23.0,3.3726666666666665,2024-12-14,2025-09-25,232,13,30.19396551724138,31.0,76.13362068965517,81,75,https://i.scdn.co/image/ab67616d0000b273c75c054b6b209b0b91d818d8,2025-01-22,286,40,0.8111888111888111,Album,Explicit
reina | mora,REINA,Mora,Album,True,15.0,3.5313166666666667,2024-08-30,2025-04-17,229,1,15.445414847161572,12.0,84.58951965065502,89,79,https://i.scdn.co/image/ab67616d0000b2734cc96ed1e38fa517608c2fb0,2024-08-30,231,1,0.9913419913419913,Album,Explicit
x'clusivo - remix | gonzy & saiko & arcángel,X'CLUSIVO - REMIX,Gonzy & SAIKO & Arcángel,Single,True,1.0,3.4688833333333333,2025-03-03,2025-10-12,220,1,12.768181818181818,12.0,78.76363636363637,84,74,https://i.scdn.co/image/ab67616d0000b2735327757614a832374e491778,2025-03-03,224,1,0.9821428571428571,Single,Explicit
holanda | jhayco,Holanda,Jhayco,Single,True,1.0,3.86155,2024-08-04,2025-03-12,219,3,21.995454545454546,20.0,88.44090909090909,93,84,https://i.scdn.co/image/ab67616d0000b273cd2ceb6adaa32ecc83cec5c3,2024-08-16,221,13,0.9909502262443439,Single,Explicit
badgyal | saiko,BADGYAL,SAIKO,Album,True,16.0,4.2327,2025-04-28,2025-11-23,208,1,10.846153846153847,9.0,79.79807692307692,85,74,https://i.scdn.co/image/ab67616d0000b273e346fc6f767ca2ac8365fe60,2025-05-01,210,4,0.9904761904761905,Album,Explicit
supernova | saiko,Supernova,Saiko,Single,False,1.0,3.1818166666666667,2024-05-18,2025-05-03,207,1,24.10144927536232,17.0,80.3719806763285,85,63,https://i.scdn.co/image/ab67616d0000b273c3f5b9580dfc96c80705424a,2024-05-18,351,1,0.5897435897435898,Single,Clean
el tonto | lola indigo,EL TONTO,Lola Indigo,Album,False,11.0,3.1331,2024-05-18,2025-01-10,205,2,24.965853658536584,19.0,79.95121951219512,84,75,https://i.scdn.co/image/ab67616d0000b273daab364ac14d96679b5639aa,2024-05-18,238,1,0.8613445378151261,Album,Clean
la_original.mp3 | emilia,La_Original.mp3,Emilia,Album,False,13.0,2.34375,2024-11-04,2025-06-03,202,10,26.527093596059114,25.0,81.19704433497537,85,79,https://i.scdn.co/image/ab67616d0000b273bfb94590c914538b193f6931,2025-03-08,212,125,0.9528301886792453,Album,Clean
friki | gonzy,FRIKI,Gonzy,Single,True,1.0,3.1511,2025-05-10,2025-11-26,198,8,18.328282828282827,18.0,71.31818181818181,77,66,https://i.scdn.co/image/ab67616d0000b273df9069eb8ce60b8f2059aee4,2025-06-26,201,48,0.9850746268656716,Single,Explicit
perro negro | bad bunny,PERRO NEGRO,Bad Bunny,Album,True,22.0,2.7127833333333333,2024-10-14,2025-05-31,195,2,11.408163265306122,10.0,94.15816326530613,97,89,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2024-10-17,230,4,0.8478260869565217,Album,Explicit
quien es dei v? | dei v,Quien Es Dei V?,Dei V,Single,True,1.0,2.704066666666667,2024-09-24,2025-04-09,195,10,28.92820512820513,26.0,80.0,82,78,https://i.scdn.co/image/ab67616d0000b27348093fb42a734d7e0845ade5,2024-10-04,198,11,0.9848484848484849,Single,Explicit
oa | anuel aa & quevedo & maluma,OA,Anuel AA & Quevedo & Maluma,Single,True,1.0,3.92,2024-10-16,2025-04-27,192,3,21.124352331606218,18.0,85.09844559585493,88,83,https://i.scdn.co/image/ab67616d0000b27331e30ddd08dde773cd4cbbbe,2024-11-11,194,27,0.9896907216494846,Single,Explicit
santa | rvssian,Santa,Rvssian,Single,False,2.0,3.2173,2025-05-22,2025-11-27,188,2,13.797872340425531,14.5,81.65957446808511,84,83,https://i.scdn.co/image/ab67616d0000b273edf307a421ee80c9262f8dc8,2025-05-22,190,1,0.9894736842105263,Single,Clean
diluvio | rauw alejandro,DILUVIO,Rauw Alejandro,Album,True,14.0,3.2842,2024-10-21,2025-10-14,188,3,18.82010582010582,15.0,88.25396825396825,91,81,https://i.scdn.co/image/ab67616d0000b273f29d0900444e44b4146409e5,2024-11-16,359,27,0.5236768802228412,Album,Explicit
narcotics (with bryant myers) | dei v & bryant myers,Narcotics (with Bryant Myers),Dei V & Bryant Myers,Single,True,1.0,2.89985,2024-10-04,2025-06-11,188,15,25.569148936170212,24.0,82.70212765957447,85,74,https://i.scdn.co/image/ab67616d0000b2735b8ec2b9361e0bbf841860cf,2024-12-28,251,86,0.749003984063745,Single,Explicit
si no estás | iñigo quintero,Si No Estás,iñigo quintero,Single,False,1.0,3.0676833333333335,2024-09-20,2025-04-03,187,1,14.81283422459893,8.0,93.47058823529412,99,89,https://i.scdn.co/image/ab67616d0000b2735cb9531348f45311cd6fb8df,2024-09-29,196,10,0.9540816326530612,Single,Clean
classy 101 | feid & young miko,Classy 101,Feid & Young Miko,Single,True,1.0,3.2664333333333335,2024-05-18,2024-12-01,183,7,20.579234972677597,16.0,94.68852459016394,97,92,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,2024-05-18,198,1,0.9242424242424242,Single,Explicit
el conjuntito | el bobe & omar montes,El Conjuntito,El Bobe & Omar Montes,Single,False,1.0,2.645183333333333,2025-03-24,2025-09-23,180,1,17.294444444444444,12.0,75.63888888888889,81,73,https://i.scdn.co/image/ab67616d0000b273cd22e1599ed8847e9463dfc2,2025-04-09,184,17,0.9782608695652174,Single,Clean
